[2026-04-03T01:01:59.378+0600][3.449s][info][gc,start    ] GC(8) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-03T01:01:59.378+0600][3.449s][info][gc,task     ] GC(8) Using 9 workers of 10 for evacuation
[2026-04-03T01:01:59.390+0600][3.461s][info][gc,phases   ] GC(8)   Pre Evacuate Collection Set: 0.15ms
[2026-04-03T01:01:59.390+0600][3.461s][info][gc,phases   ] GC(8)   Merge Heap Roots: 0.08ms
[2026-04-03T01:01:59.390+0600][3.461s][info][gc,phases   ] GC(8)   Evacuate Collection Set: 11.16ms
[2026-04-03T01:01:59.390+0600][3.461s][info][gc,phases   ] GC(8)   Post Evacuate Collection Set: 0.73ms
[2026-04-03T01:01:59.390+0600][3.461s][info][gc,phases   ] GC(8)   Other: 0.10ms
[2026-04-03T01:01:59.390+0600][3.461s][info][gc,heap     ] GC(8) Eden regions: 109->0(103)
[2026-04-03T01:01:59.390+0600][3.461s][info][gc,heap     ] GC(8) Survivor regions: 9->15(15)
[2026-04-03T01:01:59.390+0600][3.461s][info][gc,heap     ] GC(8) Old regions: 33->34
[2026-04-03T01:01:59.390+0600][3.461s][info][gc,heap     ] GC(8) Humongous regions: 0->0
[2026-04-03T01:01:59.390+0600][3.461s][info][gc,metaspace] GC(8) Metaspace: 8813K(9024K)->8813K(9024K) NonClass: 7970K(8064K)->7970K(8064K) Class: 843K(960K)->843K(960K)
[2026-04-03T01:01:59.390+0600][3.461s][info][gc          ] GC(8) Pause Young (Normal) (G1 Evacuation Pause) 298M->95M(394M) 12.474ms
[2026-04-03T01:01:59.390+0600][3.461s][info][gc,cpu      ] GC(8) User=0.10s Sys=0.00s Real=0.02s
[2026-04-03T01:01:59.623+0600][3.694s][info][gc,start    ] GC(9) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-03T01:01:59.623+0600][3.694s][info][gc,task     ] GC(9) Using 9 workers of 10 for evacuation
[2026-04-03T01:01:59.643+0600][3.715s][info][gc,phases   ] GC(9)   Pre Evacuate Collection Set: 0.26ms
[2026-04-03T01:01:59.644+0600][3.715s][info][gc,phases   ] GC(9)   Merge Heap Roots: 0.08ms
[2026-04-03T01:01:59.644+0600][3.715s][info][gc,phases   ] GC(9)   Evacuate Collection Set: 18.17ms
[2026-04-03T01:01:59.644+0600][3.715s][info][gc,phases   ] GC(9)   Post Evacuate Collection Set: 2.11ms
[2026-04-03T01:01:59.644+0600][3.715s][info][gc,phases   ] GC(9)   Other: 0.08ms
[2026-04-03T01:01:59.644+0600][3.715s][info][gc,heap     ] GC(9) Eden regions: 103->0(178)
[2026-04-03T01:01:59.644+0600][3.715s][info][gc,heap     ] GC(9) Survivor regions: 15->15(15)
[2026-04-03T01:01:59.644+0600][3.715s][info][gc,heap     ] GC(9) Old regions: 34->41
[2026-04-03T01:01:59.644+0600][3.715s][info][gc,heap     ] GC(9) Humongous regions: 0->0
[2026-04-03T01:01:59.644+0600][3.715s][info][gc,metaspace] GC(9) Metaspace: 8831K(9024K)->8831K(9024K) NonClass: 7987K(8064K)->7987K(8064K) Class: 843K(960K)->843K(960K)
[2026-04-03T01:01:59.644+0600][3.715s][info][gc          ] GC(9) Pause Young (Normal) (G1 Evacuation Pause) 301M->110M(644M) 20.921ms
[2026-04-03T01:01:59.644+0600][3.715s][info][gc,cpu      ] GC(9) User=0.15s Sys=0.02s Real=0.02s
[2026-04-03T01:02:00.215+0600][4.286s][info][gc,start    ] GC(10) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-03T01:02:00.215+0600][4.287s][info][gc,task     ] GC(10) Using 10 workers of 10 for evacuation
[2026-04-03T01:02:00.239+0600][4.310s][info][gc,phases   ] GC(10)   Pre Evacuate Collection Set: 0.25ms
[2026-04-03T01:02:00.239+0600][4.310s][info][gc,phases   ] GC(10)   Merge Heap Roots: 0.10ms
[2026-04-03T01:02:00.239+0600][4.310s][info][gc,phases   ] GC(10)   Evacuate Collection Set: 21.61ms
[2026-04-03T01:02:00.239+0600][4.310s][info][gc,phases   ] GC(10)   Post Evacuate Collection Set: 1.29ms
[2026-04-03T01:02:00.239+0600][4.310s][info][gc,phases   ] GC(10)   Other: 0.34ms
[2026-04-03T01:02:00.239+0600][4.310s][info][gc,heap     ] GC(10) Eden regions: 178->0(173)
[2026-04-03T01:02:00.239+0600][4.310s][info][gc,heap     ] GC(10) Survivor regions: 15->20(25)
[2026-04-03T01:02:00.239+0600][4.310s][info][gc,heap     ] GC(10) Old regions: 41->49
[2026-04-03T01:02:00.239+0600][4.310s][info][gc,heap     ] GC(10) Humongous regions: 0->0
[2026-04-03T01:02:00.239+0600][4.310s][info][gc,metaspace] GC(10) Metaspace: 8863K(9088K)->8863K(9088K) NonClass: 8020K(8128K)->8020K(8128K) Class: 843K(960K)->843K(960K)
[2026-04-03T01:02:00.239+0600][4.310s][info][gc          ] GC(10) Pause Young (Normal) (G1 Evacuation Pause) 466M->136M(644M) 23.915ms
[2026-04-03T01:02:00.239+0600][4.310s][info][gc,cpu      ] GC(10) User=0.22s Sys=0.00s Real=0.02s
[2026-04-03T01:02:00.628+0600][4.699s][info][gc,start    ] GC(11) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-03T01:02:00.628+0600][4.699s][info][gc,task     ] GC(11) Using 10 workers of 10 for evacuation
[2026-04-03T01:02:00.654+0600][4.726s][info][gc,phases   ] GC(11)   Pre Evacuate Collection Set: 0.18ms
[2026-04-03T01:02:00.654+0600][4.726s][info][gc,phases   ] GC(11)   Merge Heap Roots: 0.14ms
[2026-04-03T01:02:00.654+0600][4.726s][info][gc,phases   ] GC(11)   Evacuate Collection Set: 25.33ms
[2026-04-03T01:02:00.654+0600][4.726s][info][gc,phases   ] GC(11)   Post Evacuate Collection Set: 0.79ms
[2026-04-03T01:02:00.655+0600][4.726s][info][gc,phases   ] GC(11)   Other: 0.12ms
[2026-04-03T01:02:00.655+0600][4.726s][info][gc,heap     ] GC(11) Eden regions: 173->0(168)
[2026-04-03T01:02:00.655+0600][4.726s][info][gc,heap     ] GC(11) Survivor regions: 20->25(25)
[2026-04-03T01:02:00.655+0600][4.726s][info][gc,heap     ] GC(11) Old regions: 49->57
[2026-04-03T01:02:00.655+0600][4.726s][info][gc,heap     ] GC(11) Humongous regions: 0->0
[2026-04-03T01:02:00.655+0600][4.726s][info][gc,metaspace] GC(11) Metaspace: 8869K(9088K)->8869K(9088K) NonClass: 8025K(8128K)->8025K(8128K) Class: 843K(960K)->843K(960K)
[2026-04-03T01:02:00.655+0600][4.726s][info][gc          ] GC(11) Pause Young (Normal) (G1 Evacuation Pause) 482M->162M(644M) 26.850ms
[2026-04-03T01:02:00.655+0600][4.726s][info][gc,cpu      ] GC(11) User=0.26s Sys=0.00s Real=0.03s
[2026-04-03T01:02:01.029+0600][5.100s][info][gc,start    ] GC(12) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-03T01:02:01.029+0600][5.100s][info][gc,task     ] GC(12) Using 10 workers of 10 for evacuation
[2026-04-03T01:02:01.058+0600][5.129s][info][gc,phases   ] GC(12)   Pre Evacuate Collection Set: 0.16ms
[2026-04-03T01:02:01.058+0600][5.129s][info][gc,phases   ] GC(12)   Merge Heap Roots: 0.08ms
[2026-04-03T01:02:01.058+0600][5.129s][info][gc,phases   ] GC(12)   Evacuate Collection Set: 27.59ms
[2026-04-03T01:02:01.058+0600][5.129s][info][gc,phases   ] GC(12)   Post Evacuate Collection Set: 0.87ms
[2026-04-03T01:02:01.058+0600][5.129s][info][gc,phases   ] GC(12)   Other: 0.18ms
