[2026-04-03T06:30:04.187+0600][4.015s][info][gc,metaspace] GC(9) Metaspace: 8815K(9024K)->8815K(9024K) NonClass: 7971K(8064K)->7971K(8064K) Class: 843K(960K)->843K(960K)
[2026-04-03T06:30:04.187+0600][4.016s][info][gc          ] GC(9) Pause Young (Normal) (G1 Evacuation Pause) 281M->105M(638M) 22.222ms
[2026-04-03T06:30:04.187+0600][4.016s][info][gc,cpu      ] GC(9) User=0.14s Sys=0.02s Real=0.02s
[2026-04-03T06:30:04.738+0600][4.567s][info][gc,start    ] GC(10) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-03T06:30:04.739+0600][4.567s][info][gc,task     ] GC(10) Using 10 workers of 10 for evacuation
[2026-04-03T06:30:04.761+0600][4.589s][info][gc,phases   ] GC(10)   Pre Evacuate Collection Set: 0.14ms
[2026-04-03T06:30:04.761+0600][4.590s][info][gc,phases   ] GC(10)   Merge Heap Roots: 0.09ms
[2026-04-03T06:30:04.761+0600][4.590s][info][gc,phases   ] GC(10)   Evacuate Collection Set: 21.07ms
[2026-04-03T06:30:04.761+0600][4.590s][info][gc,phases   ] GC(10)   Post Evacuate Collection Set: 0.69ms
[2026-04-03T06:30:04.761+0600][4.590s][info][gc,phases   ] GC(10)   Other: 0.60ms
[2026-04-03T06:30:04.761+0600][4.590s][info][gc,heap     ] GC(10) Eden regions: 177->0(171)
[2026-04-03T06:30:04.761+0600][4.590s][info][gc,heap     ] GC(10) Survivor regions: 14->20(24)
[2026-04-03T06:30:04.761+0600][4.590s][info][gc,heap     ] GC(10) Old regions: 40->47
[2026-04-03T06:30:04.761+0600][4.590s][info][gc,heap     ] GC(10) Humongous regions: 0->0
[2026-04-03T06:30:04.761+0600][4.590s][info][gc,metaspace] GC(10) Metaspace: 8853K(9088K)->8853K(9088K) NonClass: 8010K(8128K)->8010K(8128K) Class: 843K(960K)->843K(960K)
[2026-04-03T06:30:04.761+0600][4.590s][info][gc          ] GC(10) Pause Young (Normal) (G1 Evacuation Pause) 459M->131M(638M) 23.007ms
[2026-04-03T06:30:04.761+0600][4.590s][info][gc,cpu      ] GC(10) User=0.21s Sys=0.00s Real=0.02s
[2026-04-03T06:30:05.137+0600][4.965s][info][gc,start    ] GC(11) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-03T06:30:05.137+0600][4.965s][info][gc,task     ] GC(11) Using 10 workers of 10 for evacuation
[2026-04-03T06:30:05.161+0600][4.990s][info][gc,phases   ] GC(11)   Pre Evacuate Collection Set: 0.17ms
[2026-04-03T06:30:05.161+0600][4.990s][info][gc,phases   ] GC(11)   Merge Heap Roots: 0.07ms
[2026-04-03T06:30:05.161+0600][4.990s][info][gc,phases   ] GC(11)   Evacuate Collection Set: 23.27ms
[2026-04-03T06:30:05.161+0600][4.990s][info][gc,phases   ] GC(11)   Post Evacuate Collection Set: 0.97ms
[2026-04-03T06:30:05.161+0600][4.990s][info][gc,phases   ] GC(11)   Other: 0.15ms
[2026-04-03T06:30:05.161+0600][4.990s][info][gc,heap     ] GC(11) Eden regions: 171->0(167)
[2026-04-03T06:30:05.161+0600][4.990s][info][gc,heap     ] GC(11) Survivor regions: 20->24(24)
[2026-04-03T06:30:05.161+0600][4.990s][info][gc,heap     ] GC(11) Old regions: 47->55
[2026-04-03T06:30:05.161+0600][4.990s][info][gc,heap     ] GC(11) Humongous regions: 0->0
[2026-04-03T06:30:05.161+0600][4.990s][info][gc,metaspace] GC(11) Metaspace: 8863K(9088K)->8863K(9088K) NonClass: 8019K(8128K)->8019K(8128K) Class: 843K(960K)->843K(960K)
[2026-04-03T06:30:05.162+0600][4.990s][info][gc          ] GC(11) Pause Young (Normal) (G1 Evacuation Pause) 473M->155M(638M) 24.983ms
[2026-04-03T06:30:05.162+0600][4.990s][info][gc,cpu      ] GC(11) User=0.23s Sys=0.00s Real=0.02s
[2026-04-03T06:30:05.543+0600][5.372s][info][gc,start    ] GC(12) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-03T06:30:05.543+0600][5.372s][info][gc,task     ] GC(12) Using 10 workers of 10 for evacuation
[2026-04-03T06:30:05.572+0600][5.401s][info][gc,phases   ] GC(12)   Pre Evacuate Collection Set: 0.13ms
[2026-04-03T06:30:05.572+0600][5.401s][info][gc,phases   ] GC(12)   Merge Heap Roots: 0.08ms
[2026-04-03T06:30:05.572+0600][5.401s][info][gc,phases   ] GC(12)   Evacuate Collection Set: 27.38ms
[2026-04-03T06:30:05.572+0600][5.401s][info][gc,phases   ] GC(12)   Post Evacuate Collection Set: 1.21ms
[2026-04-03T06:30:05.572+0600][5.401s][info][gc,phases   ] GC(12)   Other: 0.09ms
[2026-04-03T06:30:05.573+0600][5.401s][info][gc,heap     ] GC(12) Eden regions: 167->0(167)
